,time,count
483,54686.923169794354,0.9290063
484,54686.92382129898,0.702976
485,54686.924619204074,0.5851195
486,54686.9636091925,0.805777
487,54686.964119944816,0.7736398
488,54686.96511242167,0.4645849
489,54686.9659235212,0.8865236
490,54686.96652423879,0.8796064
491,54686.96756259528,0.4331899
492,54686.96857158833,0.4672687
493,54686.96954375268,0.6311047
494,54686.97040274574,0.5565684
495,54686.971290951755,0.7538203
496,54686.972064759626,0.6590739
497,54686.97310449342,0.5061058
498,54686.97403747954,0.6518465
499,54686.974908081385,0.5864255
500,54686.97588750268,0.4577206
501,54686.97687562768,0.7206232
502,54686.97782166935,0.5041605
503,54686.97857328972,0.725202
504,54686.97945245639,0.7676648
505,54686.980188243426,0.5992684
506,54686.980984840644,0.7435856
507,54686.98172775732,0.5818199
508,54686.98247501426,0.7482412
509,54686.983378984165,0.644681
510,54686.98414827815,0.7095523
511,54686.984918498056,0.6420862
512,54686.98560626426,1.04595
513,54686.9865116925,0.4244303
514,54686.98744675037,0.6021801
515,54686.98824127583,0.7385472
516,54686.98897547722,0.583237
517,54686.98997666935,0.4765257
518,54686.99121116009,0.6387569
519,54687.512742595274,0.3826948
520,54687.513750211016,0.7583163
521,54687.514370604535,0.5202865
522,54687.5154632087,0.5535161
523,54687.5161828962,0.6856951
524,54687.51688710917,0.8765918
525,54687.51740028046,0.7936712
526,54687.51820993324,0.5889357
527,54687.518973162405,0.5797359
528,54687.519800153146,0.6109729
529,54687.52062003741,0.6461676
530,54687.52123960917,0.819725
531,54687.52202750269,0.5044446
532,54687.52274774574,0.8245467
533,54687.52338714389,0.938999
534,54687.523921044354,0.7446154
535,54687.524571854534,0.7804484
536,54687.52529458602,0.6045464
537,54687.52598553509,0.8609631
538,54687.52690573185,0.7602386
539,54687.57928522259,0.6916113
540,54687.57997881056,0.7147719
541,54687.58073503741,0.762116
542,54687.581312525836,0.7136531
543,54687.58212217861,0.4680429
544,54687.58313379898,0.6501427
545,54687.58380824343,0.8925241
546,54687.58442635685,0.6402689
547,54687.585118208706,0.7642422
548,54687.585805014256,0.5905777
549,54688.50570166935,0.5187071
550,54688.50650551194,0.891319
551,54688.506964030465,0.9347449
552,54688.50752783833,0.8841493
553,54688.50826853278,0.7138267
554,54688.508826819816,0.8886368
555,54688.509533729535,0.6726095
556,54688.51015897259,0.9806985
557,54688.510694516575,0.6462998
558,54688.51151723648,0.7323561
559,54688.512167271205,0.7633361
560,54688.51275002583,0.9760773
561,54688.51330629898,0.7670659
562,54688.51390266472,0.9284576
563,54688.514528961015,0.7470932
564,54688.51540298879,0.5420043
565,54688.516122676294,0.6705224
566,54688.51684962074,0.756387
567,54688.51740244481,0.8839765
568,54688.517963984166,0.9379402
569,54688.518674204075,0.6272239
570,54688.51934581287,0.9232056
571,54688.51976176194,0.9409763
572,54688.520541148515,0.7141279
573,54688.52106765315,0.8882163
574,54688.521756877686,0.672804
575,54688.52246060454,0.6425104
576,54688.52320496796,0.6503313
577,54688.52409587074,0.5383727
578,54688.52490933139,0.8119711
579,54688.52547141472,0.7699325
580,54688.52620693555,0.7142021
581,54688.52689405361,0.6672029
582,54688.52774706287,0.6756995
583,54689.975703984164,0.770293
584,54689.97628728278,0.882215
585,54689.97693124111,1.093207
586,54689.97767877583,0.5317112
587,54689.97841443555,0.7770802
588,54689.979138474904,0.7404098
589,54689.9797478962,1.04295
590,54689.98035143787,0.6675996
591,54689.98096382213,1.262717
592,54689.981583393885,0.6919521
593,54689.98237854435,0.590213
594,54689.98323317398,0.5790023
595,54689.98392225963,1.150822
596,54689.98444330129,0.7568403
597,54689.985225384626,0.6550419
598,54689.98597554667,0.6491062
599,54689.986781403146,0.6734036
600,54689.98754261842,0.7229392
601,54689.98810706287,0.8654279
602,54689.9889297712,0.6006655
603,54689.98962625268,0.786274
604,54689.990274840646,0.6454363
605,54689.99096116009,0.9738938
606,54689.9914632087,0.9715236
607,54689.992120511946,0.7304873
608,54689.99275397259,0.8357732
609,54689.99347863694,0.617395
610,54689.99443297722,0.6609204
611,54689.99508053509,0.824582
612,54689.995678347594,0.6902578
613,54689.9964629888,0.7182063
614,54689.99715400732,1.039633
615,54689.99937610222,0.7089936
616,54690.0602891925,0.8647729
617,54690.06105179666,0.5950615
618,54690.061798220275,1.009414
619,54690.0622335212,1.031665
620,54690.06291874111,0.7734581
621,54690.06334643787,1.125098
622,54690.063918127686,0.7649482
623,54690.06439985222,0.9298341
624,54690.065100685555,0.7233623
625,54690.06563175037,1.120364
626,54690.066098972595,0.9877583
627,54690.06696230592,0.8377353
628,54690.12701834759,0.8875307
629,54690.12749903046,0.9796747
630,54690.128081923984,0.7430096
631,54690.12876243324,0.7289394
632,54690.12954423879,0.7110005
633,54690.130138891574,0.8847584
634,54690.13073868324,0.9277636
635,54690.13124362537,0.9968865
636,54690.131800882315,0.8436838
637,54690.13240151889,0.7905193
638,54690.13303995639,0.8467518
639,54690.13354345176,0.7925695
640,54690.13446690083,0.6958696
641,54690.78831684296,1.176685
642,54690.788870778146,0.7243165
643,54690.789512248055,0.9855977
644,54690.79002286148,0.9737559
645,54690.79050458602,0.9750148
646,54690.79095438926,1.278067
647,54690.7914482087,0.9212434
648,54690.79192220176,0.9706325
649,54690.792576472595,0.795976
650,54690.79322947028,0.7935995
651,54690.79386238694,0.6670795
652,54690.794550569815,1.038969
653,54690.79506324342,0.8732096
654,54690.79562429667,0.8357457
655,54690.79619225963,1.095521
656,54690.796648069816,1.170696
657,54690.79702243324,0.9791253
658,54690.79771371796,0.6680263
659,54690.79841247953,0.7806909
660,54690.79894084759,0.9136519
661,54690.79953699342,0.7466947
662,54690.80009749111,1.083958
663,54690.80057735222,0.8175397
664,54690.80114786148,1.127131
665,54690.80176958602,0.7534102
666,54690.802358278146,0.7916291
667,54690.80310875268,0.6392442
668,54690.85509753741,0.8677838
669,54690.85573831287,0.6199883
670,54690.85648219018,0.8158221
671,54690.85708773416,0.8660236
672,54690.85775374111,0.6909757
673,54690.85844876426,0.6495227
674,54690.859213440184,0.6702198
675,54690.8598858013,0.785392
676,54690.86054081287,0.7350035
677,54690.86117234065,1.104942
678,54690.86173525731,1.006652
679,54690.862200766576,1.255193
680,54690.86263632213,0.8712268
681,54690.863427109165,0.6051928
682,54690.86407569713,1.011559
683,54690.864508092964,0.8536973
684,54690.865228208706,0.8545347
685,54690.865731217964,1.05407
686,54690.86617092861,1.316648
687,54690.86668168093,0.9004951
688,54690.867112629996,1.072176
689,54690.86785698185,0.6672779
690,54690.86848090546,0.7149399
691,54690.86961997954,0.661599
692,54690.92253583602,0.4967953
693,54690.923468139255,0.6443055
694,54690.92414499111,0.8167576
695,54690.92471087074,0.9624604
696,54690.92535366009,0.6574585
697,54690.92608641472,0.5755343
698,54690.92692978278,0.6432159
699,54690.927717699444,0.6709732
700,54690.92833688926,0.9768643
