Unnamed: 0,Unnamed: 1,id,radeg,raerr,decdeg,decerr,V,Verr,Vnobs,B,Berr,Bnobs,up,SUerr,SUnobs,gp,SGerr,SGnobs,rp,SRerr,SRnobs,ip,SIerr,SInobs,zs,SZerr,SZnobs,Y,Yerr,Ynobs,u_lco,B_lco,g_lco,V_lco,r_lco,i_lco,z_lco,y_lco,uerr_lco,Berr_lco,gerr_lco,Verr_lco,rerr_lco,ierr_lco,zerr_lco,yerr_lco,teff,norm,teff_err,norm_err,ebv,covar,redchi
51,51,51,225.302316,0.209,10.69876,0.174,15.499,0.098,8,16.198,0.082,8,,,0,15.763,0.017,7,15.336,0.063,7,15.198,0.093,7,,,0,,,0,17.18442548210073,16.018153993734195,15.770180929304033,15.482930364585712,15.324019116883253,15.203355772605331,15.188572244386027,14.873247576220141,0.07748580750626383,0.019310800188408025,0.013176076723689126,0.02192485004686828,0.03931417196718191,0.05251072783054184,0.06171947767597671,0.061719477675976665,,,,,,,
52,52,52,225.303617,0.48,10.712876,0.419,14.25,0.037,8,14.995,0.047,8,,,0,14.529,0.025,7,14.02,0.048,7,13.811,0.072,7,13.452,0.306,2,,,0,16.241662131195433,14.863469377002268,14.576791873221204,14.237942833439572,14.014086534033328,13.850947631016659,13.808471706772647,13.493147038606764,0.12568310545309028,0.03480021843634081,0.02572726640099242,0.025126691824791717,0.04255420468541289,0.05703076914898974,0.06726433683398003,0.06726433683398006,,,,,,,
53,53,53,225.305637,0.251,10.52893,0.295,14.05,0.049,8,14.671,0.042,8,,,0,14.278,0.024,7,13.904,0.038,7,13.758,0.071,7,13.314,0.233,1,,,0,15.657219769529753,14.548939063001633,14.316241481723118,14.04350392996292,13.900269668679957,13.79173637914202,13.784863157669207,13.46953848950331,0.07429990795984018,0.02664820676642319,0.019513238400622485,0.022878505588190275,0.03666615498681329,0.04902504922791517,0.05783774387897275,0.057837743878972704,,,,,,,
54,54,54,225.308506,0.627,10.077002,0.41,16.941,0.168,6,18.03,0.163,6,,,0,17.458,0.085,7,16.628,0.103,7,16.219,0.105,6,,,0,,,0,20.010453268937027,17.885144455592993,17.50664386776097,17.023953088428392,16.5667566353829,16.265501658702874,16.139295380767948,15.823970712602062,0.14373135424534053,0.05983080754908129,0.051009425478430265,0.036405329377292885,0.03482051453237796,0.050110940863726736,0.060673938718108625,0.06067393871810819,,,,,,,
55,55,55,225.309783,0.567,10.295316,0.312,17.103,0.101,7,17.694,0.136,7,,,0,17.323,0.086,7,16.857,0.129,7,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
56,56,56,225.31006,0.333,10.201071,0.329,14.448,0.053,8,15.366,0.058,8,,,0,14.824,0.021,7,14.178,0.038,7,13.902,0.066,7,,,0,,,0,16.877278017946395,15.188949083043191,14.861206874241795,14.467185658870683,14.15641830084158,13.947824187254913,13.872933416207367,13.557608748041478,0.11668266767342582,0.031383173975407234,0.025692996859741527,0.024443574655190425,0.04221219176513801,0.05609574921708981,0.06531283440683966,0.06531283440683965,,,,,,,
57,57,57,225.310075,0.711,10.729387,0.517,17.405,0.092,4,17.822,0.169,4,,,0,17.652,0.084,6,17.08,0.166,6,16.475,0.215,3,,,0,,,0,19.44742277683809,18.017144424610763,17.719887794784405,17.363338926164595,17.09285723636731,16.90940072797106,16.85664409999262,16.54131943182673,0.4649821170515506,0.15531706019593955,0.13301228798084092,0.130444871667134,0.1897014034824234,0.24781445217721185,0.28905244686340553,0.28905244686340525,,,,,,,
58,58,58,225.312897,0.479,10.190375,0.43,,,0,,,0,,,0,18.568,0.048,2,17.331,0.077,2,16.21,0.081,2,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
59,59,59,225.31416,0.153,10.385534,0.188,11.997,0.038,8,12.622,0.044,8,,,0,12.219,0.023,7,11.83,0.044,7,11.688,0.065,7,11.578,0.128,4,,,0,13.614234600792322,12.4949788574662,12.257341549715925,11.980118713700623,11.831684325498774,11.718608969962961,11.710531979496903,11.395207311331013,0.08108517558917469,0.026877315106148592,0.02130601483426946,0.028180778924423937,0.04473780222630002,0.05864032369153146,0.0684807699601975,0.06848076996019752,,,,,,,
60,60,60,225.316967,0.282,10.151456,0.25,14.411,0.06,8,15.039,0.058,8,,,0,14.64,0.018,7,14.256,0.052,7,14.126,0.078,7,,,0,,,0,15.983352371683267,14.887400837291494,14.657286719118822,14.393247750268777,14.253436400143066,14.147167619547993,14.142439711031194,13.827115042865309,0.0972144006281711,0.03919262155559951,0.02509419634054321,0.016336954911034332,0.027776957399170243,0.04192928188833051,0.052245083070483186,0.0522450830704834,,,,,,,
61,61,61,225.317946,0.282,10.443973,0.347,13.648,0.041,8,14.276,0.047,8,,,0,13.855,0.029,7,13.502,0.047,7,13.385,0.074,7,13.189,0.046,2,,,0,15.233583088486029,14.137499873390773,13.909377036434758,13.643191979442179,13.504422097479345,13.397218568146304,13.392726771683918,13.077402103518029,0.13304698875997642,0.059356111233613916,0.041381294703368356,0.026896910020406017,0.03346099887401228,0.04911078205196291,0.061515944687978275,0.0615159446879786,,,,,,,
62,62,62,225.319703,0.509,10.227461,0.4,17.447,0.168,2,18.212,0.149,2,,,0,17.69,0.104,7,16.83,0.081,7,16.344,0.138,2,,,0,,,0,20.3748461194174,18.180954330097777,17.79542294902094,17.295120468170126,16.808138070146228,16.479432320226493,16.3398225663503,16.024497898184414,0.22046863577685527,0.09538979960203949,0.07983106622324765,0.058258836766612,0.06603057650104707,0.1016465482112431,0.1245200866673974,0.1245200866673976,,,,,,,
